[2023-04-22T21:39:27.867] [ERROR] default - ::1 - - "POST /nginx/createSetting HTTP/1.1" 404 572 "" "PostmanRuntime/7.32.2"
[2023-04-22T21:39:32.486] [INFO] default - ::1 - - "POST /user/register HTTP/1.1" 200 97 "" "PostmanRuntime/7.32.2"
[2023-04-22T21:39:40.979] [INFO] default - ::1 - - "POST /user/login HTTP/1.1" 200 234 "" "PostmanRuntime/7.32.2"
[2023-04-22T21:39:47.292] [INFO] default - ::1 - - "POST /user/login HTTP/1.1" 200 234 "" "PostmanRuntime/7.32.2"
[2023-04-22T21:39:47.885] [INFO] default - ::1 - - "POST /user/login HTTP/1.1" 200 234 "" "PostmanRuntime/7.32.2"
[2023-04-22T21:39:48.348] [INFO] default - ::1 - - "POST /user/login HTTP/1.1" 200 234 "" "PostmanRuntime/7.32.2"
[2023-04-22T21:39:49.404] [INFO] default - ::1 - - "POST /user/login HTTP/1.1" 200 234 "" "PostmanRuntime/7.32.2"
[2023-04-22T21:39:51.435] [INFO] default - ::1 - - "POST /user/login HTTP/1.1" 200 234 "" "PostmanRuntime/7.32.2"
[2023-04-22T21:39:52.058] [INFO] default - ::1 - - "POST /user/login HTTP/1.1" 200 234 "" "PostmanRuntime/7.32.2"
[2023-04-22T21:39:52.406] [INFO] default - ::1 - - "POST /user/login HTTP/1.1" 200 234 "" "PostmanRuntime/7.32.2"
[2023-04-22T21:39:52.733] [INFO] default - ::1 - - "POST /user/login HTTP/1.1" 200 234 "" "PostmanRuntime/7.32.2"
[2023-04-22T21:39:53.027] [INFO] default - ::1 - - "POST /user/login HTTP/1.1" 200 234 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:04:19.169] [INFO] default - ::1 - - "GET /cmd/services HTTP/1.1" 200 132 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:04:33.487] [INFO] default - ::1 - - "GET /cmd/services HTTP/1.1" 200 132 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:04:37.997] [INFO] default - ::1 - - "POST /user/login HTTP/1.1" 200 234 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:04:53.233] [INFO] default - ::1 - - "GET /cmd/services HTTP/1.1" 200 325 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:05:47.678] [INFO] default - ::1 - - "GET /cmd/services HTTP/1.1" 200 325 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:08:05.609] [INFO] default - ::1 - - "GET /cmd/services HTTP/1.1" 200 325 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:08:08.325] [INFO] default - ::1 - - "GET /cmd/services HTTP/1.1" 200 325 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:08:17.353] [INFO] default - ::1 - - "POST /cmd/stopService HTTP/1.1" 200 45 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:08:34.862] [INFO] default - ::1 - - "POST /cmd/stopService HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:08:43.101] [INFO] default - ::1 - - "GET /cmd/services HTTP/1.1" 200 325 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:08:48.687] [INFO] default - ::1 - - "GET /cmd/services HTTP/1.1" 200 325 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:08:57.561] [INFO] default - ::1 - - "POST /cmd/stopService HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:10:00.941] [INFO] default - ::1 - - "GET /cmd/services HTTP/1.1" 200 325 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:10:22.037] [INFO] default - ::1 - - "GET /cmd/services HTTP/1.1" 200 325 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:14:24.498] [INFO] default - ::1 - - "POST /cmd/stopService HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:14:28.343] [INFO] default - ::1 - - "GET /cmd/services HTTP/1.1" 200 325 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:15:17.285] [INFO] default - ::1 - - "GET /cmd/services HTTP/1.1" 200 325 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:15:20.662] [INFO] default - ::1 - - "POST /cmd/stopService HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:16:24.575] [INFO] default - ::1 - - "POST /cmd/stopService HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:17:43.351] [INFO] default - ::1 - - "POST /cmd/stopService HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:22:14.819] [INFO] default - ::1 - - "POST /cmd/deploy HTTP/1.1" 200 132 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:22:52.325] [INFO] default - ::1 - - "GET /cmd/services HTTP/1.1" 200 325 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:23:20.829] [INFO] default - ::1 - - "POST /cmd/deploy HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:24:20.870] [INFO] default - ::1 - - "POST /cmd/deploy HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:24:35.374] [INFO] default - ::1 - - "POST /cmd/deploy HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:26:21.734] [INFO] default - ::1 - - "POST /cmd/deploy HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:27:47.763] [INFO] default - ::1 - - "POST /cmd/deploy HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:29:01.748] [INFO] default - ::1 - - "POST /cmd/deploy HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:29:41.663] [INFO] default - ::1 - - "POST /cmd/deploy HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:30:24.622] [INFO] default - ::1 - - "POST /cmd/deploy HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:30:42.813] [INFO] default - ::1 - - "POST /cmd/deploy HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:31:33.728] [INFO] default - ::1 - - "POST /cmd/deploy HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:31:51.373] [INFO] default - ::1 - - "POST /cmd/deploy HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:32:58.617] [INFO] default - ::1 - - "POST /cmd/deploy HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:33:27.505] [INFO] default - ::1 - - "POST /cmd/stopService HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:33:51.037] [INFO] default - ::1 - - "GET /cmd/services HTTP/1.1" 200 325 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:34:38.709] [INFO] default - ::1 - - "POST /cmd/stopService HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:35:46.900] [INFO] default - ::1 - - "POST /cmd/stopService HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:36:37.249] [INFO] default - ::1 - - "POST /cmd/stopService HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:37:24.838] [INFO] default - ::1 - - "POST /cmd/stopService HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:39:07.871] [INFO] default - ::1 - - "POST /cmd/rollback HTTP/1.1" 200 45 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:39:14.327] [INFO] default - ::1 - - "POST /cmd/rollback HTTP/1.1" 200 73 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:40:50.918] [INFO] default - ::1 - - "POST /cmd/rollback HTTP/1.1" 200 73 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:42:45.382] [INFO] default - ::1 - - "POST /cmd/rollback HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
[2023-04-22T22:43:30.118] [INFO] default - ::1 - - "POST /cmd/rollback HTTP/1.1" 200 40 "" "PostmanRuntime/7.32.2"
